M00097	beta-Carotene biosynthesis, GGAP => beta-carotene [PATH:map00906]	K02291;K02293;K15744;K00514;K09835;K06443;
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]	K01649;K01702;K01703;K01704;K00052;
M00342	Bacterial proteasome [PATH:map03050] [BR:ko03051]	K03432;K03433;K13527;K13571;
M00452	CusS-CusR (copper tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07644;K07665;
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer [PATH:map00603]	K01988;K00719;
M00503	PgtB-PgtA (phosphoglycerate transport) two-component regulatory system [PATH:map02020] [BR:ko02022]	K08475;K08476;
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562]	K00913;K00915;K10572;
M00055	N-glycan precursor biosynthesis [PATH:map00510]	K01001;K07432;K07441;K03842;K03843;K03844;K03845;K03846;K03847;K00729;K03848;K03849;K03850;
M00548	Benzene degradation, benzene => catechol [PATH:map01220 map00362]	K16249;K16243;K16244;K16242;K16245;K16246;
M00337	Immunoproteasome [PATH:map03050] [BR:ko03051]	K02725;K02726;K02727;K02728;K02729;K02730;K02731;K02732;K02734;K02735;K02736;K02741;K02733;K02740;K06696;K06697;
M00354	Spliceosome, U4/U6.U5 tri-snRNP [PATH:map03040] [BR:ko03041]	K11086;K11087;K11096;K11088;K11097;K11098;K11099;K12621;K12622;K12623;K12624;K12625;K12626;K12627;K12843;K12662;K09567;K12844;K12845;K12852;K12853;K12855;K12856;K12857;K12854;K12858;K12859;K13099;K11984;K12847;K12846;
M00409	ESCRT-I complex [PATH:map04144]	K12183;K12184;K12185;K12186;
M00510	Cph1-Rcp1 (light response) two-component regulatory system [PATH:map02020] [BR:ko02022]	K11354;K11355;
M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes [PATH:map00900]	K01823;K00787;K00804;
M00196	Multiple sugar transport system [PATH:map02010] [BR:ko02000]	K10117;K10118;K10119;K10112;
M00333	Type IV secretion system [PATH:map03070] [BR:ko02044]	K03194;K03197;K03198;K03200;K03202;K03204;K03201;K03203;K03195;K03199;K03196;K03205;
M00398	Sm core complex [PATH:map03040] [BR:ko03032 ko03041]	K11086;K11087;K11096;K11088;K11097;K11098;K11099;
M00265	PTS system, glucose-specific II component [PATH:map00010 map02060] [BR:ko02000]	K02777;K02778;K02779;
M00410	ESCRT-II complex [PATH:map04144]	K12188;K12189;K12190;
M00423	Molybdate/tungstate transport system [PATH:map02010] [BR:ko02000]	K15495;K15496;K15497;
M00374	Dicarboxylate-hydroxybutyrate cycle [PATH:map01200 map00720]	K00169;K00170;K00171;K00172;K03737;K01007;K01595;K00024;K01676;K01679;K01677;K01678;K00239;K00240;K00241;K00242;K00244;K00245;K00246;K00247;K01902;K01903;K15038;K14465;K14466;K14467;K14534;K15016;K01715;K01782;K01825;K07516;K00626;
M00152	Cytochrome bc1 complex [PATH:map00190]	K00412;K00413;K00410;K00411;K00414;K00415;K00416;K00417;K00418;K00419;K00420;
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate [PATH:map01220 map00621]	K15751;K15752;K15753;K15754;K15755;K15756;
M00382	SCF-FBS complex [PATH:map04120 map04141] [BR:ko04121]	K03868;K03347;K03094;K10099;K10100;
M00208	Glycine betaine/proline transport system [PATH:map02010] [BR:ko02000]	K02002;K02001;K02000;
M00194	Maltose/maltodextrin transport system [PATH:map02010] [BR:ko02000]	K10108;K10109;K10110;K10111;K10112;
M00383	ECV complex [PATH:map04120 map05211] [BR:ko04121]	K03868;K03870;K03872;K03873;K03871;
M00237	Branched-chain amino acid transport system [PATH:map02010] [BR:ko02000]	K01999;K01997;K01998;K01995;K01996;
M00015	Proline biosynthesis, glutamate => proline [PATH:map01230 map00330]	K00931;K00147;K12657;K00286;
M00416	Cytochrome aa3-600 menaquinol oxidase [PATH:map00190]	K02827;K02826;K02828;K02829;
M00357	Methanogenesis, acetate => methane [PATH:map01200 map00680]	K00925;K00625;K13788;K01895;K00193;K00197;K00194;K00577;K00578;K00579;K00580;K00581;K00582;K00583;K00584;K00399;K00401;K00402;K03388;K03389;K03390;
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P [PATH:map01200 map01230 map00030]	K08094;K08093;K13812;K13831;K01807;
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine [PATH:map01230 map00300]	K01655;K17450;K01705;K05824;K00825;K00838;K00143;K14085;K00293;K00290;
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	K00855;K01601;K01602;K00927;K05298;K00150;K00134;
M00274	PTS system, mannitol-specific II component [PATH:map00051 map02060] [BR:ko02000]	K02798;K02799;K02800;
M00599	Inositol-phosphate transport system [PATH:map02010] [BR:ko02000]	K17237;K17238;K17239;K17240;
M00343	Archaeal proteasome [PATH:map03050] [BR:ko03051]	K03432;K03433;K03420;
M00176	Assimilatory sulfate reduction, sulfate => H2S [PATH:map00920]	K13811;K00958;K00860;K00955;K00957;K00956;K00390;K00380;K00381;K00392;
M00291	MRN complex [PATH:map03440] [BR:ko03032 ko03400]	K10865;K10866;K10867;
M00009	Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]	K01647;K01681;K01682;K00031;K00030;K00164;K00658;K00382;K00174;K00175;K00177;K00176;K01902;K01903;K01899;K01900;K00239;K00240;K00241;K00242;K00244;K00245;K00246;K00247;K00234;K00235;K00236;K00237;K01676;K01679;K01677;K01678;K00026;K00025;K00024;
M00244	Putative zinc/manganese transport system [BR:ko02000]	K02077;K02075;K02074;
M00271	PTS system, beta-glucosides-specific II component [PATH:map02060] [BR:ko02000]	K02755;K02756;K02757;
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA [PATH:map00330]	K09470;K09471;K09472;K09473;
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140]	K00512;K00070;K01822;K07434;
M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07679;K07690;
M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	K00088;K01951;K00942;K00940;K00873;K12406;
M00456	ArcB-ArcA (anoxic redox control) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07648;K07773;
M00242	Zinc transport system [PATH:map02010] [BR:ko02000]	K09815;K09816;K09817;
M00480	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07681;K07694;
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin [PATH:map00780]	K01906;K00652;K00833;K01935;K01012;
M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	K01596;K01610;K01689;K01834;K00927;K00134;K01803;K01623;K01624;K01622;K03841;K02446;K11532;K04041;
M00281	PTS system, lactose-specific II component [PATH:map00052 map02060] [BR:ko02000]	K02786;K02787;K02788;
M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate [PATH:map00920]	K17222;K17223;K17224;K17225;K08738;K17226;K17227;
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	K00928;K00133;K01714;K00215;K05822;K00841;K05823;K01778;K01586;
M00268	PTS system, arbutin-like II component [PATH:map00010 map02060] [BR:ko02000]	K02777;K02749;K02750;
M00138	Flavonoid biosynthesis, naringenin => pelargonidin [PATH:map00941]	K00475;K13082;K05277;
M00366	C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]	K01823;K14066;K00787;K13789;
M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00520 map00052]	K00849;K00965;
M00240	Iron complex transport system [PATH:map02010] [BR:ko02000]	K02016;K02015;K02013;
M00137	Flavonoid biosynthesis, 4-coumaroyl-CoA => naringenin => apigenin [PATH:map00941]	K00660;K01859;K13077;
M00066	Lactosylceramide biosynthesis [PATH:map00600]	K00720;K07553;
M00013	Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA [PATH:map00640]	K00249;K07511;K07514;K07515;K05605;K00140;
M00174	Methane oxidation, methanotroph, methane => formaldehyde [PATH:map01200 map01220 map00680]	K10944;K10945;K10946;K16157;K16158;K16159;K16160;K16161;K16162;K14028;K14029;K17066;
M00082	Fatty acid biosynthesis, initiation [PATH:map01212 map00061]	K01962;K01963;K02160;K01961;K11263;K11262;K00645;K13935;K00648;K11533;K00667;K00668;K00665;
M00393	TRAMP complex [PATH:map03018]	K03514;K12596;K12597;K12598;
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030]	K13937;K00036;K01057;K07404;K00033;
M00302	2-Aminoethylphosphonate transport system [PATH:map02010] [BR:ko02000]	K11081;K11082;K11083;K11084;
M00150	Fumarate reductase, prokaryotes [PATH:map00190]	K00244;K00245;K00246;K00247;
M00139	Morphine biosynthesis, dopamine => morphine [PATH:map00950]	K13382;K13383;K13384;K13385;K13386;K13391;K13392;K13393;K14976;K13394;K14975;
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde-3P + pyruvate [PATH:map01200 map00030]	K05308;K00874;K01625;K11395;
M00602	Arabinosaccharide transport system [PATH:map02010] [BR:ko02000]	K17234;K17235;K17236;K10112;
M00609	Cysteine biosynthesis, methionine => cysteine [PATH:map01230 map00270]	K00789;K17462;K01243;K07173;K17216;K17217;
M00269	PTS system, sucrose-specific II component [PATH:map00500 map02060] [BR:ko02000]	K02808;K02809;K02810;
M00495	AgrC-AgrA (exoprotein synthesis) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07706;K07707;
M00487	CitS-CitT (magnesium-citrate transport) two-component regulatory system [PATH:map02020] [BR:ko02022]	K11637;K11638;
M00447	CpxA-CpxR (envelope stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07640;K07662;
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map01210 map01230 map00290]	K09011;K01703;K01704;K00052;
M00273	PTS system, fructose-specific II component [PATH:map00051 map02060] [BR:ko02000]	K02768;K02769;K02770;
M00312	2-oxoisovalerate:ferredoxin oxidoreductase [PATH:map00280]	K00186;K00187;K00188;K00189;
M00154	Cytochrome c oxidase [PATH:map00190]	K02257;K02262;K02256;K02261;K02263;K02264;K02265;K02266;K02267;K02268;K02269;K02270;K02271;K02272;K02273;K02258;K02259;K02260;
M00004	Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map01200 map00030]	K13937;K00036;K01057;K07404;K00033;K01783;K01807;K01808;K00615;K00616;K01810;K06859;K13810;K15916;
M00250	Lipopolysaccharide transport system [PATH:map02010] [BR:ko02000]	K09690;K09691;
M00253	Sodium transport system [PATH:map02010] [BR:ko02000]	K09696;K09697;
M00325	alpha-Hemolysin/cyclolysin transport system [PATH:map02010 map03070] [BR:ko02000]	K11004;K11003;K12340;
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]	K01662;K00099;K00991;K12506;K00919;K01770;K03526;K03527;K01823;
M00496	ComD-ComE (competence) two-component regulatory system [PATH:map02020] [BR:ko02022]	K12294;K12295;
M00471	NarX-NarL (nitrate respiration) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07673;K07684;
M00405	THC complex [PATH:map03040 map03013] [BR:ko03041]	K12878;K12879;K13174;K13175;K13176;
M00296	BER complex [PATH:map03410] [BR:ko03400]	K10803;K10798;K02330;K03512;K10981;K10776;K10771;K10772;
M00490	MalK-MalR (malate transport) two-component regulatory system [PATH:map02020] [BR:ko02022]	K11614;K11615;
M00537	Xylene degradation, xylene => methylbenzoate [PATH:map01220 map00622]	K15757;K15758;K00055;K00141;
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE [PATH:map00564]	K00894;K14156;K00967;K00993;K13644;
M00047	Creatine pathway [PATH:map00330]	K00613;K00542;K00933;
M00283	PTS system, ascorbate-specific II component [PATH:map00053 map02060] [BR:ko02000]	K02821;K02822;K03475;
M00226	Histidine transport system [PATH:map02010] [BR:ko02000]	K10014;K10015;K10016;K10017;
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine [PATH:map00350]	K00431;
M00061	Uronic acid metabolism [PATH:map00040]	K01812;K00041;K01685;K16849;K16850;K01686;K00040;
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA [PATH:map00330]	K00657;K00274;K00128;K14085;K00149;
M00064	ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540]	K03271;K03272;K03273;K03274;
M00596	Dissimilatory sulfate reduction, sulfate => H2S [PATH:map00920]	K00956;K00957;K00958;K00394;K00395;K11180;K11181;
M00144	NADH:quinone oxidoreductase, prokaryotes [PATH:map00190]	K00330;K00331;K00332;K00333;K13378;K13380;K00334;K00335;K00336;K00337;K00338;K00339;K00340;K00341;K00342;K15863;K00343;
M00256	Cell division transport system [PATH:map02010] [BR:ko02000]	K09811;K09812;
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]	K00626;K01641;K01640;K00019;K01574;
M00241	Vitamin B12 transport system [PATH:map02010] [BR:ko02000]	K06858;K06073;K06074;
M00297	DNA-PK complex [PATH:map03450 map04110] [BR:ko03032 ko03400]	K10884;K10885;K06642;
M00505	KinB-AlgB (alginate production) two-component regulatory system [PATH:map02020] [BR:ko02022]	K11383;K11384;
M00190	Iron(III) transport system [PATH:map02010] [BR:ko02000]	K02012;K02011;K02010;
M00217	D-Allose transport system [PATH:map02010] [BR:ko02000]	K10549;K10550;K10551;
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone [PATH:map00532]	K00746;K13499;K00747;K03419;
M00513	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system [PATH:map02020 map05111] [BR:ko02022]	K10909;K10916;K10911;K10912;
M00406	TREX complex [PATH:map03013 map03040] [BR:ko03041]	K12878;K12879;K13174;K13175;K13176;K12880;K12881;K12812;
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]	K03766;K07966;K07967;K07968;K07969;
M00368	Ethylene biosynthesis, methionine => ethylene [PATH:map00270]	K00789;K01762;K05933;
M00331	Type II general secretion system [PATH:map03070] [BR:ko02044]	K02453;K02465;K02452;K02455;K02456;K02457;K02458;K02459;K02460;K02461;K02462;K02454;K02464;
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate [PATH:map01220 map00621]	K08689;K15750;K05710;K00529;K08690;K00462;K10222;
M00571	AlgE-type Mannuronan C-5-Epimerase transport system [BR:ko02044]	K16300;K16299;K12340;
M00530	Dissimilatory nitrate reduction, nitrate => ammonia [PATH:map00910]	K00370;K00371;K00374;K00373;K02567;K02568;K00362;K00363;K03385;K15876;
M00121	Heme biosynthesis, glutamate => protoheme/siroheme [PATH:map00860]	K01885;K14163;K02492;K01845;K01698;K01749;K01719;K13542;K13543;K01599;K00228;K02495;K00230;K00231;K01772;K02302;K00589;K02303;K02496;K02304;K03794;
M00569	Catechol meta-cleavage, catechol => pyruvate + acetaldehyde [PATH:map01220 map00362 map00622]	K00446;K10217;K01821;K01617;K02554;K01666;
M00028	Ornithine biosynthesis, glutamate => ornithine [PATH:map01210 map01230 map00330]	K00619;K00620;K00618;K11067;K14681;K14682;K00930;K00145;K05828;K05829;K12659;K00818;K00821;K05830;K01438;K14677;
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map00710]	K01595;K14454;K14455;K01610;
M00012	Glyoxylate cycle [PATH:map01200 map00630]	K01647;K01681;K01682;K01637;K01638;K00026;K00025;K00024;
M00115	NAD biosynthesis, aspartate => NAD [PATH:map00760]	K00278;K03517;K00767;K00969;K06210;K01916;K01950;
M00400	p97-Ufd1-Npl4 complex [PATH:map04141]	K13525;K14016;K14015;
M00100	Sphingosine degradation [PATH:map00600]	K04718;K01634;
M00458	ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07651;K07775;
M00610	PTS system, D-glucosaminate-specific II component [PATH:map02060] [BR:ko02000]	K17464;K17465;K17466;K17467;
M00509	WspE-WspRF (chemosensory) two-component regulatory system [PATH:map02020] [BR:ko02022]	K13490;K11444;K13491;
M00263	DNA polymerase epsilon complex [PATH:map03030] [BR:ko03032 ko03400]	K02324;K02325;K02326;K03506;
M00326	RTX toxin transport system [BR:ko02044]	K12530;K12531;K12532;K12340;
M00221	Putative simple sugar transport system [BR:ko02000]	K02058;K02057;K02056;
M00511	PleC-PleD (cell fate control) two-component regulatory system [PATH:map02020 map04112] [BR:ko02022]	K07716;K11357;K02489;K02488;K11443;K13591;
M00582	Energy-coupling factor transport system [PATH:map02010] [BR:ko02000]	K03523;K16923;K16924;K16925;K16926;K16927;K16928;K16929;K16785;K16786;K16787;
M00056	O-glycan biosynthesis, mucin type core [PATH:map00512]	K00710;K00731;K09653;K00727;K09662;K09663;K00739;
M00446	RstB-RstA two-component regulatory system [PATH:map02020] [BR:ko02022]	K07639;K07661;
M00151	Cytochrome bc1 complex respiratory unit [PATH:map00190]	K00412;K00413;K00410;K00411;K03886;K03887;K03888;K03890;K03891;K03889;
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate [PATH:map00340]	K01745;K01712;K01468;K01479;
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]	K00164;K00658;K00382;K00174;K00175;K00177;K00176;K01902;K01903;K01899;K01900;K00239;K00240;K00241;K00242;K00244;K00245;K00246;K00247;K00234;K00235;K00236;K00237;K01676;K01679;K01677;K01678;K00026;K00025;K00024;
M00391	Exosome, eukaryotes [PATH:map03018]	K07573;K12587;K03679;K03681;K11600;K12589;K12586;K12585;K03678;K12590;
M00075	N-glycan biosynthesis, complex type [PATH:map00510]	K01231;K00736;K00737;K00738;K00744;K09661;K13748;K00717;K07966;K07967;K07968;K00778;K00779;
M00239	Peptides/nickel transport system [PATH:map02010] [BR:ko02000]	K02035;K02033;K02034;K02031;K02032;
M00324	Dipeptide transport system [PATH:map02010] [BR:ko02000]	K12368;K12369;K12370;K12371;K12372;
M00520	ChvG-ChvI (acidity sensing) two-component regulatory system [PATH:map02020] [BR:ko02022]	K14980;K14981;
M00514	TtrS-TtrR (tetrathionate respiration) two-component regulatory system [PATH:map02020] [BR:ko02022]	K13040;K13041;
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine [PATH:map00330]	K01583;K01584;K01585;K02626;K01480;K01611;K00797;
M00278	PTS system, sorbose-specific II component [PATH:map00051 map02060] [BR:ko02000]	K02812;K02813;K02814;K02815;
M00113	Jasmonic acid biosynthesis [PATH:map00592]	K00454;K01723;K10525;K05894;K10526;K00232;K10527;K00632;K07513;
M00290	Holo-TFIIH complex [PATH:map03420] [BR:ko03021 ko03400]	K03141;K03142;K03143;K03144;K10843;K10844;K10845;K02202;K06634;K10842;
M00589	Putative lysine transport system [PATH:map02010] [BR:ko02000]	K17073;K17074;K17076;
M00349	Microcin C transport system [PATH:map02010] [BR:ko02000]	K13893;K13894;K13895;K13896;
M00341	Proteasome, 19S regulatory particle (PA700) [PATH:map03050] [BR:ko03051]	K03061;K03062;K03063;K03064;K03065;K03066;K03028;K03032;K03033;K03035;K03036;K03037;K03038;K03039;K03029;K03030;K03031;K06691;K10881;
M00364	C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]	K01823;K00795;K13789;K13787;
M00327	S-Layer protein transport system [BR:ko02044]	K12533;K12534;K12535;
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]	K00512;K00513;K00497;K07433;K15680;K00071;
M00126	Tetrahydrofolate biosynthesis, GTP => THF [PATH:map00790 map00670]	K01495;K09007;K01077;K01113;K13939;K13940;K00796;K01633;K00950;K13941;K11754;K01930;K00287;K13998;K13938;
M00598	Anoxygenic photosystem I [BR:ko00194]	K08940;K08941;K08942;K08943;
M00415	Fatty acid biosynthesis, elongation, endoplasmic reticulum [PATH:map01212 map00062]	K10247;K10205;K10248;K10249;K10244;K10203;K10250;K15397;K10245;K10246;K10251;K10703;K10258;
M00497	GlnL-GlnG (nitrogen regulation) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07708;K07712;
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P [PATH:map00053]	K02821;K02822;K03475;K03476;K03078;K03079;K03077;
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]	K01852;K05917;K00222;K07750;K07748;K09827;K13373;K09828;K01824;K00227;K00213;
M00318	Iron/zinc/copper transport system [PATH:map02010] [BR:ko02000]	K11704;K11705;K11706;
M00155	Cytochrome c oxidase, prokaryotes [PATH:map00190]	K02275;K02274;K02276;K15408;K02277;
M00251	Teichoic acid transport system [PATH:map02010] [BR:ko02000]	K09692;K09693;
M00555	Betaine biosynthesis, choline => betaine [PATH:map00260]	K00108;K11440;K00130;
M00313	indolepyruvate:ferredoxin oxidoreductase	K00179;K00180;K04090;
M00202	Oligogalacturonide transport system [PATH:map02010] [BR:ko02000]	K10192;K10193;K10194;K10195;
M00078	Heparan sulfate degradation [PATH:map00531]	K07964;K07965;K01136;K01217;K01565;K10532;K01205;K01195;K01137;
M00597	Anoxygenic photosystem II [BR:ko00194]	K08928;K08929;
M00081	Pectin degradation [PATH:map00040]	K01051;K01184;K01213;
M00103	Cholecalciferol biosynthesis [PATH:map00100]	K07419;K07438;
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate [PATH:map01220 map00350]	K00455;K00151;K10219;K01826;K05921;
M00305	PTS system, 2-O-A-mannosyl-D-glycerate-specific II component [PATH:map02060] [BR:ko02000]	K11198;K11199;K11200;
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map01200 map00010 map00020 map00620]	K00163;K00161;K00162;K00627;K00382;K00169;K00170;K00171;K00172;
M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system [PATH:map02020] [BR:ko02022]	K11633;K11634;
